Year,Month,Day,Hour,Temp,Humi,WS,WD,Solar
2016,1,1,8,1.5,58,6.4,340,0.04
2016,1,1,9,2.6,53,5.1,340,0.48
2016,1,1,10,3.7,46,5.4,340,1.15
2016,1,1,11,6.4,40,3.4,340,1.63
2016,1,1,12,8.4,37,1.9,290,1.85
2016,1,1,13,9.2,36,4.9,250,1.80
2016,1,1,14,10.2,36,3.6,290,1.72
2016,1,1,15,10.3,38,4.1,250,1.51
2016,1,1,16,9.1,40,3.6,250,0.94
2016,1,1,17,7.7,45,3.5,250,0.31
2016,1,1,18,6.5,49,4.4,270,0.01
2016,1,2,8,4.9,60,3.6,340,0.01
2016,1,2,9,6.4,55,1.3,250,0.31
2016,1,2,10,8.1,58,2.8,270,0.56
2016,1,2,11,10.9,54,3.8,250,1.28
2016,1,2,12,9.7,56,5.2,250,0.95
2016,1,2,13,10.3,58,5.0,270,0.99
2016,1,2,14,11.1,58,5.1,250,1.16
2016,1,2,15,11.4,57,5.9,250,0.79
2016,1,2,16,11.2,59,4.8,270,0.59
2016,1,2,17,10.5,63,3.1,270,0.21
2016,1,2,18,9.5,63,1.2,270,0.01
2016,1,3,8,8.0,76,1.2,270,0.05
2016,1,3,9,10.7,66,2.0,290,0.53
2016,1,3,10,12.9,59,1.5,360,1.00
2016,1,3,11,13.4,58,1.6,160,1.03
2016,1,3,12,15.4,53,3.9,200,1.73
2016,1,3,13,16.1,47,3.4,250,1.80
2016,1,3,14,14.9,52,4.5,250,1.33
2016,1,3,15,15.2,61,4.8,200,1.37
2016,1,3,16,14.1,66,4.0,200,0.86
2016,1,3,17,13.1,69,2.4,230,0.31
2016,1,3,18,11.6,73,2.1,270,0.01
2016,1,4,8,8.1,65,2.7,320,0.01
2016,1,4,9,9.1,63,1.2,340,0.32
2016,1,4,10,11.6,57,1.2,200,0.78
2016,1,4,11,12.8,52,2.3,290,1.21
2016,1,4,12,13.8,47,1.4,360,1.50
2016,1,4,13,14.5,39,2.2,20,1.57
2016,1,4,14,14.9,37,3.0,270,1.60
2016,1,4,15,14.5,34,3.4,290,1.28
2016,1,4,16,13.8,30,2.5,290,0.78
2016,1,4,17,12.5,33,1.2,290,0.28
2016,1,4,18,10.6,36,2.2,340,0.01
2016,1,5,8,6.2,28,1.0,230,0.00
2016,1,5,9,6.2,30,1.3,230,0.05
2016,1,5,10,6.0,32,4.5,290,0.15
2016,1,5,11,6.3,35,2.1,70,0.21
2016,1,5,12,4.8,54,2.6,360,0.26
2016,1,5,13,3.6,84,2.9,290,0.23
2016,1,5,14,4.3,71,4.1,360,0.32
2016,1,5,15,5.2,65,3.9,340,0.44
2016,1,5,16,5.5,60,3.9,290,0.36
2016,1,5,17,5.6,59,1.6,320,0.16
2016,1,5,18,5.0,57,3.8,360,0.01
2016,1,6,8,1.9,31,4.0,290,0.01
2016,1,6,9,1.9,36,6.1,290,0.26
2016,1,6,10,4.3,32,2.4,180,0.56
2016,1,6,11,6.4,34,2.6,140,1.25
2016,1,6,12,7.0,35,2.3,90,1.50
2016,1,6,13,7.6,37,3.0,360,1.61
2016,1,6,14,8.5,35,2.4,20,1.61
2016,1,6,15,8.2,36,2.1,70,0.83
2016,1,6,16,8.3,36,1.4,340,0.80
2016,1,6,17,7.4,36,1.4,320,0.36
2016,1,6,18,5.8,38,2.0,360,0.01
2016,1,7,8,1.4,56,1.6,340,0.02
2016,1,7,9,2.9,54,1.7,20,0.45
2016,1,7,10,4.3,51,3.1,360,1.07
2016,1,7,11,4.9,48,4.1,290,1.56
2016,1,7,12,6.4,44,2.5,340,1.74
2016,1,7,13,7.1,37,2.6,340,1.88
2016,1,7,14,7.8,32,3.8,270,1.81
2016,1,7,15,8.0,31,2.9,290,1.42
2016,1,7,16,6.6,36,3.4,360,0.91
2016,1,7,17,5.8,37,2.8,360,0.23
2016,1,7,18,4.9,40,1.5,340,0.02
2016,1,8,8,-0.4,52,1.9,160,0.01
2016,1,8,9,1.2,49,5.2,270,0.47
2016,1,8,10,2.4,48,3.6,290,1.09
2016,1,8,11,3.3,46,4.7,290,1.57
2016,1,8,12,4.5,43,3.3,290,1.78
2016,1,8,13,5.5,37,3.5,320,1.91
2016,1,8,14,5.7,37,3.0,340,1.85
2016,1,8,15,6.1,35,3.5,360,1.50
2016,1,8,16,6.1,33,4.2,340,1.01
2016,1,8,17,5.6,31,2.5,320,0.40
2016,1,8,18,4.2,32,2.4,340,0.01
2016,1,9,8,-0.2,53,1.5,320,0.03
2016,1,9,9,2.1,46,1.0,290,0.46
2016,1,9,10,4.0,42,4.1,230,1.06
2016,1,9,11,6.3,43,3.1,270,1.55
2016,1,9,12,7.3,40,3.2,290,1.76
2016,1,9,13,8.3,38,3.0,270,1.87
2016,1,9,14,8.7,39,4.1,250,1.78
2016,1,9,15,8.9,37,3.4,250,1.46
2016,1,9,16,7.9,39,4.5,250,0.98
2016,1,9,17,6.8,43,4.4,250,0.40
2016,1,9,18,5.8,48,4.2,250,0.01
2016,1,10,8,0.7,57,1.2,340,0.01
2016,1,10,9,2.9,50,1.1,360,0.38
2016,1,10,10,5.5,46,1.3,90,0.93
2016,1,10,11,6.5,45,4.4,360,1.45
2016,1,10,12,8.3,38,1.9,320,1.71
2016,1,10,13,9.0,35,2.2,360,1.83
2016,1,10,14,8.6,37,2.2,360,1.69
2016,1,10,15,9.8,35,2.1,270,1.42
2016,1,10,16,9.0,36,2.6,230,0.92
2016,1,10,17,7.4,39,3.2,250,0.36
2016,1,10,18,5.8,44,2.1,290,0.01
2016,1,11,8,2.2,28,3.1,20,0.01
2016,1,11,9,2.3,26,2.9,320,0.14
2016,1,11,10,3.6,25,2.8,360,0.73
2016,1,11,11,6.4,22,1.5,290,1.34
2016,1,11,12,6.6,20,3.1,340,1.64
2016,1,11,13,8.6,20,1.7,320,1.86
2016,1,11,14,8.8,20,3.1,290,1.82
2016,1,11,15,9.9,19,1.7,320,1.51
2016,1,11,16,8.7,21,1.9,340,0.97
2016,1,11,17,6.6,22,3.7,340,0.27
2016,1,11,18,5.8,22,3.6,340,0.01
2016,1,12,8,-0.8,34,7.1,340,0.03
2016,1,12,9,0.9,30,4.1,340,0.48
2016,1,12,10,2.2,29,3.5,340,1.13
2016,1,12,11,2.6,27,4.8,360,1.47
2016,1,12,12,4.9,22,4.4,340,1.87
2016,1,12,13,6.7,19,3.0,320,2.00
2016,1,12,14,7.6,16,4.4,290,1.93
2016,1,12,15,7.9,16,3.5,290,1.61
2016,1,12,16,7.6,16,2.0,320,1.11
2016,1,12,17,6.1,16,2.4,320,0.48
2016,1,12,18,4.1,20,2.4,360,0.01
2016,1,13,8,-1.7,52,1.2,250,0.03
2016,1,13,9,-0.2,52,4.4,290,0.49
2016,1,13,10,1.4,49,3.0,250,1.10
2016,1,13,11,2.2,47,5.2,270,1.59
2016,1,13,12,4.1,44,4.4,290,1.84
2016,1,13,13,5.0,41,4.2,290,1.92
2016,1,13,14,5.7,39,2.8,340,1.88
2016,1,13,15,5.8,39,2.2,340,1.43
2016,1,13,16,5.5,39,1.9,290,0.93
2016,1,13,17,5.0,39,3.5,290,0.47
2016,1,13,18,3.3,42,1.9,20,0.01
2016,1,14,8,0.4,55,2.6,290,0.03
2016,1,14,9,2.5,52,3.4,270,0.46
2016,1,14,10,4.4,50,2.9,270,1.06
2016,1,14,11,5.5,45,3.3,270,1.57
2016,1,14,12,6.0,45,3.6,360,1.91
2016,1,14,13,6.9,44,3.1,320,1.87
2016,1,14,14,7.3,41,2.8,360,1.82
2016,1,14,15,7.2,39,4.1,250,1.46
2016,1,14,16,6.3,43,1.6,320,0.92
2016,1,14,17,5.1,46,2.1,270,0.30
2016,1,14,18,3.3,51,2.1,340,0.03
2016,1,15,8,0.3,53,1.2,50,0.02
2016,1,15,9,2.4,49,0.7,140,0.33
2016,1,15,10,5.2,43,1.3,50,0.81
2016,1,15,11,7.3,42,1.4,140,1.33
2016,1,15,12,8.9,39,2.3,270,1.60
2016,1,15,13,10.0,35,1.1,20,1.68
2016,1,15,14,9.5,36,3.0,360,1.69
2016,1,15,15,10.1,34,1.2,360,1.39
2016,1,15,16,9.1,34,2.1,250,0.94
2016,1,15,17,7.3,40,1.2,290,0.33
2016,1,15,18,5.5,44,2.5,320,0.02
2016,1,16,8,3.5,52,1.1,270,0.00
2016,1,16,9,4.5,49,0.4,0,0.14
2016,1,16,10,6.0,45,1.7,50,0.30
2016,1,16,11,7.3,43,2.2,50,0.59
2016,1,16,12,7.5,47,1.6,50,0.36
2016,1,16,13,8.2,49,1.5,50,0.67
2016,1,16,14,9.5,47,1.2,20,0.90
2016,1,16,15,9.8,48,1.1,360,1.18
2016,1,16,16,8.5,49,1.3,340,0.42
2016,1,16,17,8.0,49,1.2,360,0.20
2016,1,16,18,7.3,50,1.6,20,0.02
2016,1,17,8,6.2,64,3.9,50,0.00
2016,1,17,9,6.9,64,2.9,50,0.04
2016,1,17,10,7.7,65,3.6,50,0.09
2016,1,17,11,7.9,66,2.6,50,0.16
2016,1,17,12,9.1,65,3.0,50,0.29
2016,1,17,13,10.1,65,3.7,50,0.59
2016,1,17,14,9.8,70,3.6,50,0.38
2016,1,17,15,7.0,94,3.1,50,0.09
2016,1,17,16,7.1,93,3.4,50,0.06
2016,1,17,17,6.7,96,3.4,50,0.03
2016,1,17,18,6.3,96,3.4,50,0.00
2016,1,18,8,4.1,71,2.6,320,0.02
2016,1,18,9,4.6,68,6.8,290,0.34
2016,1,18,10,5.1,67,5.4,320,0.75
2016,1,18,11,6.7,56,5.2,270,1.46
2016,1,18,12,6.3,46,5.7,290,1.83
2016,1,18,13,6.2,36,9.1,290,2.00
2016,1,18,14,6.2,43,5.7,290,1.99
2016,1,18,15,5.0,41,5.8,290,1.32
2016,1,18,16,3.9,38,6.6,270,1.07
2016,1,18,17,1.8,38,7.2,290,0.58
2016,1,18,18,-0.3,41,7.9,270,0.05
2016,1,19,8,-5.2,43,5.7,290,0.03
2016,1,19,9,-4.3,39,9.8,290,0.57
2016,1,19,10,-3.5,36,10.3,290,1.23
2016,1,19,11,-2.4,35,8.9,290,1.74
2016,1,19,12,-0.9,33,6.4,290,1.97
2016,1,19,13,-0.4,32,8.3,270,2.06
2016,1,19,14,0.4,31,7.5,270,2.11
2016,1,19,15,0.4,28,5.8,320,1.72
2016,1,19,16,-0.7,29,10.1,290,1.20
2016,1,19,17,-1.7,32,10.1,290,0.57
2016,1,19,18,-2.8,34,7.7,270,0.05
2016,1,20,8,-6.1,49,3.6,140,0.04
2016,1,20,9,-4.4,44,2.5,270,0.53
2016,1,20,10,-2.8,40,3.1,20,1.19
2016,1,20,11,-1.3,34,2.3,160,1.74
2016,1,20,12,-0.5,35,4.3,290,1.99
2016,1,20,13,1.1,31,4.2,290,2.00
2016,1,20,14,1.5,30,4.4,20,1.73
2016,1,20,15,1.7,29,2.3,360,1.10
2016,1,20,16,0.9,29,4.4,290,0.56
2016,1,20,17,0.5,30,3.4,320,0.17
2016,1,20,18,-0.2,29,5.7,340,0.04
2016,1,21,8,-2.8,31,3.7,340,0.03
2016,1,21,9,-2.4,35,6.4,340,0.37
2016,1,21,10,-0.7,24,6.0,340,0.49
2016,1,21,11,-0.6,27,4.8,360,0.55
2016,1,21,12,-0.9,30,6.5,340,0.54
2016,1,21,13,0.8,29,4.8,320,0.77
2016,1,21,14,1.5,26,3.6,320,1.03
2016,1,21,15,2.4,27,1.6,270,0.78
2016,1,21,16,2.4,32,2.4,360,0.94
2016,1,21,17,2.1,34,2.0,340,0.38
2016,1,21,18,1.2,36,3.3,320,0.05
2016,1,22,8,-2.0,27,5.4,360,0.05
2016,1,22,9,-1.4,28,6.7,360,0.56
2016,1,22,10,-0.5,25,8.5,340,1.12
2016,1,22,11,2.0,22,5.5,340,1.73
2016,1,22,12,4.0,19,4.9,360,1.96
2016,1,22,13,5.1,18,4.1,320,2.04
2016,1,22,14,5.6,18,4.9,360,2.01
2016,1,22,15,6.4,18,2.5,340,1.42
2016,1,22,16,4.9,18,4.1,360,0.88
2016,1,22,17,3.8,17,5.0,340,0.33
2016,1,22,18,2.7,19,4.6,340,0.04
2016,1,23,8,-2.6,43,4.2,20,0.01
2016,1,23,9,-2.3,40,2.7,110,0.11
2016,1,23,10,-2.1,36,2.5,140,6.00
2016,1,23,11,-1.6,35,1.8,160,0.49
2016,1,23,12,-1.2,35,2.9,360,0.84
2016,1,23,13,-0.1,34,2.3,50,1.40
2016,1,23,14,0.7,31,3.4,320,1.70
2016,1,23,15,0.7,31,3.3,360,1.50
2016,1,23,16,-0.3,29,3.8,340,1.02
2016,1,23,17,-1.4,29,3.0,360,0.49
2016,1,23,18,-3.0,29,2.7,360,0.06
2016,1,24,8,-9.8,68,1.8,320,0.04
2016,1,24,9,-8.9,60,4.1,290,0.58
2016,1,24,10,-7.5,51,4.9,290,1.24
2016,1,24,11,-6.3,39,4.6,290,1.76
2016,1,24,12,-5.9,41,5.4,290,2.00
2016,1,24,13,-4.6,34,4.2,290,1.94
2016,1,24,14,-4.8,29,4.2,320,2.15
2016,1,24,15,-4.5,27,6.9,290,1.74
2016,1,24,16,-5.2,26,6.2,360,1.26
2016,1,24,17,-5.9,27,4.4,360,0.62
2016,1,24,18,-7.1,29,5.1,360,0.07
2016,1,25,8,-6.6,55,2.4,180,0.05
2016,1,25,9,-4.7,49,2.8,340,0.55
2016,1,25,10,-3.1,47,2.7,270,1.21
2016,1,25,11,-2.1,43,3.3,290,1.73
2016,1,25,12,-0.5,40,3.2,270,2.06
2016,1,25,13,0.1,37,4.2,320,2.16
2016,1,25,14,1.4,35,3.9,270,2.08
2016,1,25,15,2.1,33,3.8,320,1.75
2016,1,25,16,1.9,34,2.3,290,1.24
2016,1,25,17,1.8,35,1.9,270,0.60
2016,1,25,18,-0.1,39,2.1,270,0.07
2016,1,26,8,-3.5,60,2.2,320,0.05
2016,1,26,9,-0.9,54,3.3,230,0.56
2016,1,26,10,1.3,53,4.9,250,1.19
2016,1,26,11,3.9,49,3.5,270,1.71
2016,1,26,12,4.6,45,6.0,250,2.03
2016,1,26,13,6.1,41,4.6,250,2.10
2016,1,26,14,7.1,39,5.2,250,2.00
2016,1,26,15,6.4,46,7.6,250,1.68
2016,1,26,16,6.2,44,6.6,250,1.15
2016,1,26,17,5.5,46,5.1,270,0.54
2016,1,26,18,3.9,40,3.8,290,0.08
2016,1,27,8,1.3,67,3.7,270,0.05
2016,1,27,9,3.5,53,3.4,250,0.50
2016,1,27,10,5.5,46,1.8,250,1.03
2016,1,27,11,7.1,41,2.4,340,1.51
2016,1,27,12,7.2,41,2.8,340,1.77
2016,1,27,13,7.6,38,4.2,250,1.36
2016,1,27,14,8.7,38,3.9,250,1.74
2016,1,27,15,8.6,39,5.0,270,1.70
2016,1,27,16,8.1,39,4.5,250,1.03
2016,1,27,17,7.5,43,4.3,250,0.53
2016,1,27,18,6.1,48,4.1,250,0.06
2016,1,28,8,5.0,49,0.9,20,0.00
2016,1,28,9,5.5,51,0.9,110,0.04
2016,1,28,10,5.4,56,0.5,20,0.11
2016,1,28,11,5.6,59,0.0,0,0.14
2016,1,28,12,5.9,54,0.8,90,0.19
2016,1,28,13,5.7,64,2.1,20,0.24
2016,1,28,14,4.8,70,2.5,50,0.20
2016,1,28,15,4.2,82,3.6,20,0.17
2016,1,28,16,3.5,92,3.1,50,0.13
2016,1,28,17,3.2,95,3.2,50,0.05
2016,1,28,18,2.7,94,4.0,50,0.00
2016,1,29,8,4.1,96,4.5,50,0.00
2016,1,29,9,4.1,95,5.2,50,0.08
2016,1,29,10,4.1,94,4.6,50,0.19
2016,1,29,11,4.2,94,5.0,50,0.27
2016,1,29,12,4.5,93,4.7,50,0.43
2016,1,29,13,4.7,92,4.6,50,0.49
2016,1,29,14,4.6,90,4.1,50,0.32
2016,1,29,15,4.9,91,4.4,50,0.33
2016,1,29,16,4.9,90,4.3,50,0.18
2016,1,29,17,4.7,92,4.9,50,0.06
2016,1,29,18,4.9,92,3.9,50,0.00
2016,1,30,8,5.6,81,4.1,50,0.00
2016,1,30,9,5.8,82,4.3,50,0.08
2016,1,30,10,6.3,80,3.6,50,0.32
2016,1,30,11,6.6,78,3.2,50,0.39
2016,1,30,12,7.2,76,3.9,50,0.54
2016,1,30,13,7.7,74,3.3,50,0.73
2016,1,30,14,7.9,73,3.7,50,0.79
2016,1,30,15,8.4,71,3.1,50,0.78
2016,1,30,16,8.2,71,4.0,50,0.71
2016,1,30,17,7.3,74,3.1,50,0.30
2016,1,30,18,6.5,75,2.4,20,0.09
2016,1,31,8,2.2,87,2.8,290,0.04
2016,1,31,9,1.6,90,3.7,340,0.41
2016,1,31,10,3.6,75,3.9,340,0.89
2016,1,31,11,3.5,75,6.4,320,1.27
2016,1,31,12,5.7,61,2.2,320,1.56
2016,1,31,13,5.7,55,4.0,320,1.63
2016,1,31,14,6.3,47,3.4,290,1.24
2016,1,31,15,6.9,51,2.2,20,1.20
2016,1,31,16,6.3,51,1.9,320,0.81
2016,1,31,17,5.5,51,1.7,50,0.34
2016,1,31,18,4.8,47,4.8,320,0.07
2016,2,1,8,-0.8,36,6.3,340,0.03
2016,2,1,9,-0.6,36,6.3,340,0.24
2016,2,1,10,0.5,32,6.0,340,0.83
2016,2,1,11,2.3,29,5.2,340,1.90
2016,2,1,12,3.9,27,5.0,340,2.18
2016,2,1,13,5.4,31,3.7,320,2.32
2016,2,1,14,6.1,28,4.5,290,2.24
2016,2,1,15,7.0,29,3.2,290,1.88
2016,2,1,16,5.8,28,5.4,290,1.35
2016,2,1,17,5.1,28,3.9,290,0.71
2016,2,1,18,3.2,28,1.8,70,0.06
2016,2,2,8,-3.8,38,6.8,340,0.08
2016,2,2,9,-2.4,36,4.6,340,0.66
2016,2,2,10,-0.7,34,5.7,340,1.34
2016,2,2,11,0.9,31,5.9,340,1.88
2016,2,2,12,2.9,29,4.9,360,2.21
2016,2,2,13,4.7,27,3.7,360,2.32
2016,2,2,14,6.0,25,4.0,360,2.23
2016,2,2,15,7.6,25,2.5,360,1.60
2016,2,2,16,7.1,28,2.9,340,1.34
2016,2,2,17,5.6,27,1.0,340,0.52
2016,2,2,18,4.0,27,3.2,340,0.07
2016,2,3,8,-2.5,46,6.8,340,0.08
2016,2,3,9,-0.5,32,4.6,340,0.69
2016,2,3,10,1.7,30,1.8,50,1.37
2016,2,3,11,1.5,32,7.4,320,1.94
2016,2,3,12,3.3,31,4.4,320,2.28
2016,2,3,13,5.2,29,3.6,320,2.39
2016,2,3,14,6.3,30,3.6,320,2.28
2016,2,3,15,7.0,28,3.4,290,1.93
2016,2,3,16,7.0,29,2.6,320,1.39
2016,2,3,17,5.7,30,4.6,290,0.73
2016,2,3,18,4.2,33,1.2,320,0.13
2016,2,4,8,-0.2,47,2.5,290,0.08
2016,2,4,9,2.5,39,2.5,110,0.65
2016,2,4,10,3.5,39,3.4,180,1.23
2016,2,4,11,4.3,34,3.0,320,1.79
2016,2,4,12,5.1,32,2.8,110,1.78
2016,2,4,13,5.1,34,2.9,20,1.40
2016,2,4,14,6.4,32,2.7,270,1.24
2016,2,4,15,6.8,32,3.3,270,1.42
